Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.trees.RandomForest,None,None,32,9,116,85,0.7804878048780488,0.27350427350427353,0.7077948717948718,0.20578171915369037
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.trees.RandomForest,None,None,122,91,197,50,0.5727699530516432,0.7093023255813954,0.7764756944444444,0.37531301768309133
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.trees.RandomForest,None,None,47,14,163,45,0.7704918032786885,0.5108695652173914,0.8898305084745762,0.46978251428189616
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.trees.RandomForest,None,None,24,41,58,10,0.36923076923076925,0.7058823529411765,0.7018716577540107,0.22453412598605227
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.trees.RandomForest,None,None,2,32,128,2,0.058823529411764705,0.5,0.7203125,0.06442953020134265
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.trees.RandomForest,None,None,0,19,117,4,0.0,0.0,0.4742647058823529,-0.04954367666232062
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.bayes.NaiveBayes,None,None,111,122,3,6,0.47639484978540775,0.9487179487179487,0.611965811965812,-0.02644310424812776
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.bayes.NaiveBayes,None,None,134,157,131,38,0.46048109965635736,0.7790697674418605,0.7306302487080103,0.20532265494879337
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.bayes.NaiveBayes,None,None,5,0,177,87,1.0,0.05434782608695652,0.9206276099238516,0.07031343105708487
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.bayes.NaiveBayes,None,None,5,5,94,29,0.5,0.14705882352941177,0.7167260843731432,0.12567672080433098
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.bayes.NaiveBayes,None,None,0,11,149,4,0.0,0.0,0.771875,-0.03709949409780761
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.bayes.NaiveBayes,None,None,0,8,128,4,0.0,0.0,0.5082720588235294,-0.03960396039604008
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.lazy.IBk,None,None,25,11,114,92,0.6944444444444444,0.21367521367521367,0.5628376068376069,0.12852248094538832
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.lazy.IBk,None,None,100,113,175,72,0.4694835680751174,0.5813953488372093,0.5945171188630491,0.18037523596717656
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.lazy.IBk,None,None,32,71,106,60,0.3106796116504854,0.34782608695652173,0.47334807172684845,-0.05181625526072285
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.lazy.IBk,None,None,19,42,57,15,0.3114754098360656,0.5588235294117647,0.5672905525846702,0.10675150229763171
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.lazy.IBk,None,None,2,31,129,2,0.06060606060606061,0.5,0.653125,0.06753962784286727
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.lazy.IBk,None,None,1,35,101,3,0.027777777777777776,0.25,0.49356617647058826,-0.00150602409638556
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.trees.RandomForest,None,Yes,52,17,108,65,0.7536231884057971,0.4444444444444444,0.710905982905983,0.3125476338945473
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.trees.RandomForest,None,Yes,116,73,215,56,0.6137566137566137,0.6744186046511628,0.7702378068475452,0.41273108744705267
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.trees.RandomForest,None,Yes,46,13,164,46,0.7796610169491526,0.5,0.8761667894866126,0.46675402345193695
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.trees.RandomForest,None,Yes,26,39,60,8,0.4,0.7647058823529411,0.7069221628045157,0.2853549788498913
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.trees.RandomForest,None,Yes,2,28,132,2,0.06666666666666667,0.5,0.76796875,0.07796101949025484
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.trees.RandomForest,None,Yes,0,8,128,4,0.0,0.0,0.6001838235294118,-0.03960396039604008
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.bayes.NaiveBayes,None,Yes,48,16,109,69,0.75,0.41025641025641024,0.6461196581196581,0.2864081037951847
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.bayes.NaiveBayes,None,Yes,86,33,255,86,0.7226890756302521,0.5,0.8098150839793282,0.410916447849856
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.bayes.NaiveBayes,None,Yes,7,0,177,85,1.0,0.07608695652173914,0.9203819700319332,0.09777847926449111
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.bayes.NaiveBayes,None,Yes,10,9,90,24,0.5263157894736842,0.29411764705882354,0.6792929292929293,0.2376237623762374
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.bayes.NaiveBayes,None,Yes,0,18,142,4,0.0,0.0,0.484375,-0.04157043879907669
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.bayes.NaiveBayes,None,Yes,1,12,124,3,0.07692307692307693,0.25,0.5009191176470589,0.07732864674868191
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.lazy.IBk,None,Yes,26,13,112,91,0.6666666666666666,0.2222222222222222,0.5789401709401709,0.12079927338782928
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.lazy.IBk,None,Yes,104,109,179,68,0.48826291079812206,0.6046511627906976,0.6247577519379846,0.2158184690064338
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.lazy.IBk,None,Yes,29,10,167,63,0.7435897435897436,0.31521739130434784,0.6293601080815524,0.3002530021736806
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.lazy.IBk,None,Yes,20,46,53,14,0.30303030303030304,0.5882352941176471,0.5617944147355912,0.09441670449387203
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.lazy.IBk,None,Yes,3,43,117,1,0.06521739130434782,0.75,0.740625,0.07865168539325848
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.lazy.IBk,None,Yes,1,29,107,3,0.03333333333333333,0.25,0.5183823529411765,0.008849557522124
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,100,119,6,17,0.45662100456621,0.8547008547008547,0.2795897435897436,-0.0946584181467438
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,154,172,116,18,0.4723926380368098,0.8953488372093024,0.7013081395348837,0.25258260929055226
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,22,66,111,70,0.25,0.2391304347826087,0.5645725865880619,-0.13516197095693191
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,31,88,11,3,0.2605042016806723,0.9117647058823529,0.488116458704694,0.012564249000571051
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,3,93,67,1,0.03125,0.75,0.68203125,0.013817809621289624
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,3,100,36,1,0.02912621359223301,0.75,0.6488970588235294,0.0011302627860977812
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,113,122,3,4,0.4808510638297872,0.9658119658119658,0.47384615384615386,-0.009869510498774615
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,158,200,88,14,0.441340782122905,0.9186046511627907,0.7180131621447028,0.18407267422584717
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,12,93,84,80,0.11428571428571428,0.13043478260869565,0.381171702284451,-0.38202714340866567
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,17,64,35,17,0.20987654320987653,0.5,0.35591206179441476,-0.10074588740165533
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,3,39,121,1,0.07142857142857142,0.75,0.79921875,0.08990011098779149
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,3,124,12,1,0.023622047244094488,0.75,0.5891544117647058,-0.010159316555068125
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,116,123,2,1,0.48535564853556484,0.9914529914529915,0.5037264957264957,0.007212333752398549
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,144,139,149,28,0.508833922261484,0.8372093023255814,0.6772852067183462,0.3137885446814592
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,41,70,107,51,0.36936936936936937,0.44565217391304346,0.5250859739621715,0.04780153877658481
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,26,74,25,8,0.26,0.7647058823529411,0.5086155674390969,0.010524405733986553
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,4,92,68,0,0.041666666666666664,1.0,0.7125,0.03480040941658136
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,3,106,30,1,0.027522935779816515,0.75,0.4852941176470588,-0.00214075461600213
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,92,47,78,25,0.6618705035971223,0.7863247863247863,0.7687179487179487,0.4078705906341331
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,151,153,135,21,0.4967105263157895,0.877906976744186,0.7351017441860465,0.30025178346621895
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,65,20,157,27,0.7647058823529411,0.7065217391304348,0.8820928518791452,0.6045726081381165
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,26,53,46,8,0.3291139240506329,0.7647058823529411,0.6683006535947712,0.15988402195298745
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,3,64,96,1,0.04477611940298507,0.75,0.75546875,0.040331292761973406
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,2,55,81,2,0.03508771929824561,0.5,0.4963235294117647,0.012864918357248773
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,109,120,5,8,0.4759825327510917,0.9316239316239316,0.6571623931623931,-0.027532674318317536
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,47,18,270,125,0.7230769230769231,0.27325581395348836,0.7621830587855297,0.24094161089314564
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,5,10,167,87,0.3333333333333333,0.05434782608695652,0.8445713583886023,-0.0026899281404911225
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,13,14,85,21,0.48148148148148145,0.38235294117647056,0.719845513963161,0.25840369603313684
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,1,7,153,3,0.125,0.25,0.7796875,0.13865546218487335
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,1,13,123,3,0.07142857142857142,0.25,0.5284926470588235,0.06976744186046503
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,80,39,86,37,0.6722689075630253,0.6837606837606838,0.6858803418803419,0.3715574386660289
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,118,159,129,54,0.4259927797833935,0.686046511627907,0.5669815891472868,0.11929673174414845
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,33,71,106,59,0.3173076923076923,0.358695652173913,0.4787828543355441,-0.04114564725497206
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,22,53,46,12,0.29333333333333333,0.6470588235294118,0.5558526440879382,0.08002554006597841
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,3,47,113,1,0.06,0.75,0.7296875,0.06906338694418161
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,2,80,56,2,0.024390243902439025,0.5,0.45588235294117646,-0.008432888264230408
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,57,19,106,60,0.75,0.48717948717948717,0.7092991452991453,0.338980706728442
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,134,109,179,38,0.551440329218107,0.7790697674418605,0.7745175226098191,0.3698512692436723
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,43,13,164,49,0.7678571428571429,0.4673913043478261,0.8833517563252272,0.4347973430933985
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,23,47,52,11,0.32857142857142857,0.6764705882352942,0.704248366013072,0.14969135802469138
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,2,47,113,2,0.04081632653061224,0.5,0.7265625,0.03180722891566252
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,1,30,106,3,0.03225806451612903,0.25,0.5551470588235294,0.006878761822871499
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,107,122,3,10,0.4672489082969432,0.9145299145299145,0.5922051282051282,-0.05964307039076496
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,165,271,17,7,0.37844036697247707,0.9593023255813954,0.7348393087855297,0.014001973846533424
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,9,0,177,83,1.0,0.09782608695652174,0.921364529599607,0.12487751342452863
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,9,10,89,25,0.47368421052631576,0.2647058823529412,0.7060308972073678,0.19141914191419118
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,0,18,142,4,0.0,0.0,0.7328125,-0.04157043879907669
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,1,10,126,3,0.09090909090909091,0.25,0.5238970588235294,0.09542743538767401
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,None,31,15,110,86,0.6739130434782609,0.26495726495726496,0.5724786324786325,0.14782790600376533
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,None,109,134,154,63,0.448559670781893,0.6337209302325582,0.5842215762273901,0.15551496626532973
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,None,32,71,106,60,0.3106796116504854,0.34782608695652173,0.47334807172684845,-0.05181625526072285
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,None,20,45,54,14,0.3076923076923077,0.5882352941176471,0.5668449197860963,0.10289242025837421
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,None,2,32,128,2,0.058823529411764705,0.5,0.65,0.06442953020134265
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,None,2,50,86,2,0.038461538461538464,0.5,0.5643382352941176,0.019396551724137873
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,79,36,89,38,0.6869565217391305,0.6752136752136753,0.7314529914529915,0.38742560032838474
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,146,187,101,26,0.43843843843843844,0.8488372093023255,0.606296430878553,0.16788395556612426
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,81,91,86,11,0.47093023255813954,0.8804347826086957,0.8005404077622206,0.3030380004064215
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,30,55,44,4,0.35294117647058826,0.8823529411764706,0.7170231729055259,0.21897083706579074
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,4,72,88,0,0.05263157894736842,1.0,0.76484375,0.056265984654731475
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,2,35,101,2,0.05405405405405406,0.5,0.5744485294117647,0.048493754592211794
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,70,28,97,47,0.7142857142857143,0.5982905982905983,0.742940170940171,0.37624579008866593
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,92,222,66,80,0.2929936305732484,0.5348837209302325,0.3029110142118863,-0.20231253894620227
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,74,64,113,18,0.5362318840579711,0.8043478260869565,0.7830385654630312,0.39530676023904826
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,33,99,0,1,0.25,0.9705882352941176,0.6656268568033273,-0.01511219661120441
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,4,95,65,0,0.04040404040404041,1.0,0.7328125,0.032298136645962726
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,2,26,110,2,0.07142857142857142,0.5,0.5863970588235294,0.07894736842105304
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,66,29,96,51,0.6947368421052632,0.5641025641025641,0.6660512820512821,0.3341129531540208
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,155,204,84,17,0.43175487465181056,0.9011627906976745,0.5964147286821705,0.15819283892550762
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,90,126,51,2,0.4166666666666667,0.9782608695652174,0.6331982313927782,0.20126194673842449
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,27,64,35,7,0.2967032967032967,0.7941176470588235,0.5738265002970885,0.09523809523809516
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,4,64,96,0,0.058823529411764705,1.0,0.8,0.06818181818181805
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,2,71,65,2,0.0273972602739726,0.5,0.4889705882352941,-0.0023538642604942327
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,88,61,64,29,0.5906040268456376,0.7521367521367521,0.7185641025641025,0.26184504846471907
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,153,168,120,19,0.4766355140186916,0.8895348837209303,0.7527858527131783,0.2607171095603149
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,65,16,161,27,0.8024691358024691,0.7065217391304348,0.9030643576516826,0.6343375588783866
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,29,54,45,5,0.3493975903614458,0.8529411764705882,0.6914735591206179,0.20873247958051824
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,3,48,112,1,0.058823529411764705,0.75,0.76015625,0.06688341848583343
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,3,61,75,1,0.046875,0.75,0.6397058823529411,0.03641207815275307
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,103,100,25,14,0.5073891625615764,0.8803418803418803,0.7011623931623931,0.07849555748547005
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,95,45,243,77,0.6785714285714286,0.5523255813953488,0.793110061369509,0.41149328859060397
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,13,3,174,79,0.8125,0.14130434782608695,0.9289793662490788,0.15512486594147387
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,12,11,88,22,0.5217391304347826,0.35294117647058826,0.6770647653000594,0.2705667276051187
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,0,31,129,4,0.0,0.0,0.475,-0.04515659140568101
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,1,20,116,3,0.047619047619047616,0.25,0.4696691176470588,0.033613445378151655
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,89,64,61,28,0.5816993464052288,0.7606837606837606,0.6243418803418803,0.24625905613108548
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,124,152,136,48,0.4492753623188406,0.7209302325581395,0.5996850775193798,0.172185430463576
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,33,12,165,59,0.7333333333333333,0.358695652173913,0.6454495210022108,0.3315717635530048
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,22,52,47,12,0.2972972972972973,0.6470588235294118,0.5626856803327391,0.08786969567081021
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,3,58,102,1,0.04918032786885246,0.75,0.69609375,0.04876130554463234
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,2,65,71,2,0.029850746268656716,0.5,0.5110294117647058,0.002552105487026828
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,61,30,95,56,0.6703296703296703,0.5213675213675214,0.7094358974358974,0.2833826871427587
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,131,113,175,41,0.5368852459016393,0.7616279069767442,0.7750423934108527,0.34055704498063766
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,58,14,163,34,0.8055555555555556,0.6304347826086957,0.8929317121100466,0.5817027342231437
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,26,41,58,8,0.3880597014925373,0.7647058823529411,0.7055852644087938,0.2658555818407119
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,1,35,125,3,0.027777777777777776,0.25,0.72421875,0.006377551020408181
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,1,43,93,3,0.022727272727272728,0.25,0.6240808823529411,-0.011306532663316719
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,46,18,107,71,0.71875,0.39316239316239315,0.6256410256410256,0.25282730867966413
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,76,27,261,96,0.7378640776699029,0.4418604651162791,0.807937661498708,0.3787060218737646
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,12,0,177,80,1.0,0.13043478260869565,0.9205047899778924,0.16485563489599517
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,11,13,86,23,0.4583333333333333,0.3235294117647059,0.6483957219251337,0.21275896086813556
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,0,26,134,4,0.0,0.0,0.5078125,-0.044142614601018655
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,1,15,121,3,0.0625,0.25,0.5266544117647058,0.05688622754491006
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.meta.FilteredClassifier,Yes,Yes,29,16,109,88,0.6444444444444445,0.24786324786324787,0.5789401709401709,0.12227104694148015
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,110,126,162,62,0.4661016949152542,0.6395348837209303,0.611656169250646,0.18795072115384626
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.meta.FilteredClassifier,Yes,Yes,29,11,166,63,0.725,0.31521739130434784,0.6265352493244903,0.29280943583913605
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.meta.FilteredClassifier,Yes,Yes,24,53,46,10,0.3116883116883117,0.7058823529411765,0.5852644087938206,0.12049963262307122
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.meta.FilteredClassifier,Yes,Yes,3,56,104,1,0.05084745762711865,0.75,0.7,0.05192697768762697
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.meta.FilteredClassifier,Yes,Yes,2,40,96,2,0.047619047619047616,0.5,0.6029411764705882,0.03669724770642175
